lat,lng,town,address,phone
-12.3739951809384,130.879844126674,Casuarina ,"17 Bradshaw Terrace, Casuarina NT ",08 8930 0200 
-33.871365742419,150.953498511829,Fairfield Library,17 Kenyon Street,02 9725 0333
-32.4035255170793,151.756212970575,Dungog Library,17 Mackay Street,02 4992 1819
-32.33236,115.81375,Baldivis Library and Community Centre,17 Settlers Avenue,9591 0800
-33.9218816502988,150.925781277605,Liverpool City Library,170 George Street,02 8711 7177
-38.351584,143.590171,Colac,173 Queen Street,5231 4613
-17.01743,145.74354,Edmonton Library,175 Bruce Highway ,07 40443735
-37.90369156,144.6575447,Werribee,177 Watton Street  Werribee CBD  3030,9742 7999
-37.56919583,143.8534284,Ballarat,178 Doveton Street N  Ballarat  3350,5331 1211
-27.4824444,153.0118603,West End Library,178-180 Boundary Street ,07 3403 8620
-37.814923,145.22908,Ringwood (Realm),"179 Maroondah High, Ringwood",
-33.908368881228,150.865791205315,Green Valley Library,179-183 Wilson Road,02 8711 7201
-34.4795979014512,150.420887939525,BOWRAL CENTRAL LIBRARY,18 Bendooley Street,1300 266 235
-24.88424,113.65882,Carnarvon Public Library,18 Egan Street,9941 3727
-36.090181,145.443336,Numurkah,18 McCaskill Street,5862 1151
-37.880022,147.985863,Lakes Entrance,18 Mechanics St,5153 9500
-32.53447,117.08437,Pingelly Public Library,18 Parade Street,9887 1409
-38.34311442,145.7656221,Poowong,18 Ranceby Road  Poowong  3988,5659 2349
-32.68131,116.67558,Wandering Public Library,18 Watts Street,9884 1561
-38.17199889,144.5702025,Drysdale,18-20 Hancock St  Drysdale  3222,5251 3855
-16.819502,145.635879,Kuranda Library,18-22 Arara Street ,4093 9185
-27.829465,153.026373,Jimboomba Library,18-24 Honora Street ,07 3412 4190
-34.190661,142.156471,Mildura,180 Deakin Avenue  Mildura  3502,5018 8350
-37.784767,144.982754,North Fitzroy (Bargoonga Nganjin),182 St Georges Road  North Fitzroy  3068,1300 695 427
-34.7517646935444,149.717381834333,Goulburn Mulwaree Library,184-194 Bourke Street,02 4821 4435
-33.8779958693082,151.184925477731,Glebe Library,186 Glebe Point Road,02 9298 3060
-32.7611713599352,151.742104033418,Raymond Terrace Library,18a Sturgeon Street,02 4988 0111
-42.382038,147.008056,Bothwell,"19 Alexander Street, Bothwell",(03) 6259 5642
-33.0367952457987,151.661159385398,BELMONT LIBRARY,19 Ernest Street,02 4921 0731
-27.241225,152.421436,Esk Library,19 Heap Street ,07 5424 4080
-37.531165,145.339865,Kinglake,19 Whittlesea Road,5786 1522
-31.5073718157857,150.680527238035,Quirindi Library,193 George Street,02 6746 2350
-37.733396,144.740304,Caroline Springs,193-201 Caroline Springs Blvd ,9747 5300
-37.83469798,144.9603427,Emerald Hill (South Melbourne),195 Bank Street  Emerald Hill  3205,9209 6611
-32.30106,115.71024,Safety Bay Public Library,197 Safety Bay Road,9528 8611
-28.35168,114.63007,Northampton Public Library,199 Hampton Road,9934 1202
-31.34609,115.90425,Gingin Public Library,1A Lily King Place,9575 1253
-37.93881793,145.0028226,Hampton,1D Service Street  Hampton  3188,9599 4362
-30.89305,116.71823,Wongan Hills Public Library,2  Elphin Cresent,9671 1691
-41.525053,146.65659,Deloraine,"2 - 4 Emu Bay Road, Deloraine",(03) 6701 2180
-38.154551,146.787951,Rosedale,2 Cansick Street,
-37.790397,145.095853,Balwyn North (Greythorn Library Lounge),"2 Centre Way, Balwyn North",
-33.8776387718657,151.100339213161,Burwood Library,2 Conder Street,02 9911 9999
-36.552887,145.983496,Benalla,2 Fawckner Drive,5762 2069
-33.8069556754616,151.088080836032,West Ryde Library,2 Graf Avenue,02 9807 2622
-32.01087,115.85059,Canning Bridge Public Library,2 Kintail Road,9364 0121
-33.8081625494534,150.973857493746,Wentworthville Library,2 Lane Street,02 8757 9067
-37.87386228,144.7726799,Altona Meadows,2 Newham Way  Altona Meadows  3025,9932 3020
-38.019757,145.299557,Narre Warren (Bunjil Place),2 Patrick North East Drive,(03) 9704 7696
-38.47494679,145.9452291,Leongatha,2 Smith Street  Leongatha  3953,5662 4829
-33.386465458935,148.007969578276,Forbes Library,2 Victoria Lane,02 6852 1463
-27.875837,151.270489,Millmerran Library,2-16 Campbell Street ,07 4695 5619
-30.5144099918387,151.666675290076,Armidale War Memorial Library,2/182 Rusden Street,02 6770 3636
-22.592618,144.546823,Muttaburra Library,20 Bruford Street ,07 4658 7191
-21.1728,119.74546,Marble Bar Public Library,20 Francis Street,9176 1008
-33.7922665541588,150.974281866869,Constitution Hill Library,20 Hollis Street,02 9806 5500
-32.993394012774,151.681633286094,Windale Library,20 Lake Street,02 4921 0736
-29.94986,114.98114,Leeman Public Library,20 Morcombe Road,9953 1388
-33.31793,115.72253,Eaton Public Library,20 Recreation Drive,9724 4466
-24.260136,144.439216,Isisford Library,20 St Mary Street ,07 4658 8917/ 07 4658 8911
-31.8701517866723,152.376121312845,Wingham Library,20 Wynter Street,02 6553 4555
-37.77462663,144.8912563,Maribyrnong (Highpoint Shopping Centre),200 Rosamond Road  Highpoint Shopping Centre  3032,9688 0231
-33.7946693222683,151.122272503393,North Ryde Library,201 Coxs Road,02 9878 3270
-38.10867319,145.179497,Carrum Downs,203 Lyrebird Drive  Carrum Downs  3201,9782 0418
-37.82556,144.961189,Southbank (Boyd),207 City Road,
-33.7682993464201,150.773436594036,St Marys Library,207-209 Queen Street,02 4732 7455
-36.35453396,146.319428,Wangaratta,21 Docker Street  Wangaratta  3677,5721 4211
-32.01252,116.05164,Lesmurdie School Community Library,21 Reid Road,9257 9976
-31.8691,115.85946,Mirrabooka Public Library,21 Sudbury Road,9205 7300
-30.7465216349583,150.719266609453,Manilla Library,210 Manilla Street,02 6767 5920
-37.711623,142.840777,Lake Bolac,2110 Glenelg Highway,5350 2204
-33.3443016858078,151.496324104808,The Entrance Library and Council Services,211a The Entrance Road,02 4350 1550
-37.063598,144.217299,Castlemaine,212 Barker Street  Castlemaine  3450,5472 1458
-38.23135423,143.1458382,Camperdown,212 Manifold Street  Camperdown  3260,5593 2356
-34.23418794,142.1664366,Irymple,2128 Fifteenth Street  Irymple  3498,5018 8360
-31.96189,115.9337,Belmont Public Library,215 Wright Street,9477 7150
-31.47908,118.27716,Merredin Public Library,22 Coronation Street,9041 1222
-27.647617,153.382141,Russell Island Library,22 High Street ,07 3409 1684
-30.8862863045655,153.040731086684,South West Rocks Library,22 Landsborough Street,02 6566 5044
-23.489799,144.507568,Ilfracombe Library,22 Main Avenue ,07 4658 2197
-17.6786013,145.1207981,Mount Garnet Library,22 Opal Street ,07 4089 2246
-22.35097,149.523221,St Lawrence Library,22 Railway Parade ,07 4956 9156
-37.82551789,147.6288324,Bairnsdale,22 Service Street  Bairnsdale  3875,5152 4225
-38.03400092,145.2640263,Hampton Park,22-26 Stuart Avenue  Hampton Park  3976,(03) 9702 9744
-37.75444878,144.9458868,Brunswick West (Campbell Turnbull Library),"220 Melville Road  Campbell Turnbull Library, Brunswick West  3055",9384 9200
-16.996439,145.423177,Mareeba  Library,221 Byrnes Street ,4086 4622
-35.6440503574206,145.575898913285,Finley Library,223 Murray St,03 5883 5182
-37.988708,145.213532,Dandenong,225 Lonsdale St,9238 1489
-33.0917532085597,151.637539388744,Swansea Library,228 Pacific Highway,02 4921 0780
-37.71651,145.00565,Reservoir,23 Edwardes Street,1300 655 355
-42.739418,147.243549,Bridgewater,"23 Green Point Road, Bridgewater (behind Brighton Civic Centre)",(03) 6165 5446
-35.8118902744753,144.901709853803,Mathoura Library,23 Moama Street,03 5884 3730
-33.8873175925216,151.158501045863,Leichhardt Library,23 Norton Street,02 9392 5966
-30.6423253918409,153.003784762454,Nambucca Heads Library,23 Ridge Street,02 6568 6906
-20.725502,139.490674,Mount Isa City Library,23 West Street ,07 4747 3350
-35.80517,144.21718,Cohuna,23-25 King Edward Street  Cohuna  3568,5456 2124
-23.381549,150.51346,Rockhampton Regional Library,230 Bolsover Street ,07 4936 8265
-38.197414,144.321089,Waurn Ponds,230 Pioneer Road,
-37.65357046,145.5174683,Healesville,231 Maroondah Highway  Healesville  3777,5962 4423
-34.2877927031539,146.047976815596,Griffith City Library,233-237 Banna Avenue,02 6962 8300
-33.8332772368675,151.207500148905,Stanton Library (North Sydney),234 Miller Street,02 9936 8400
-31.9508,115.82372,Subiaco Public Library,237 Rokeby Road,9237 9300
-17.61088,145.488263,Ravenshoe Library & Customer Service Centre,24 Moore Street ,07 4089 2251
-17.344195,145.923834,Babinda Library,24 Munro Street ,07 4067 8400
-33.9379817643241,151.113061394963,BEXLEY NORTH LIBRARY,24 Shaw Street,02 9562 1814
-33.9379470238033,151.113089848091,Bexley North Library,24 Shaw Street,02 9562 1814
-32.78177,117.49896,Wickepin Public Library,24 Wogolin Road,9888 1500
-25.641398,149.796047,Taroom Library,24 Yaldwyn Street ,07 4627 3355
-33.54155,118.14994,Nyabing Public Library,24-26 Richmond Street,9829 1051
-35.0625834414931,148.102398355529,Gundagai Library,245 Sheridan Street,02 6944 0270
-31.9576406418195,141.46461237722,Broken Hill City Library,245-249 Blende Street,08 8080 3460
-33.8851798632609,151.225821134615,Paddington Library,247 Oxford Street,02 9391 7988
-42.781507,147.564159,Sorell,"25 Cole Street, Sorell",(03) 6165 6452
-31.92022,115.91395,Bayswater Public Library,25 King William Street,9271 2340
-38.38594076,142.4817167,Warrnambool,25 Liebig Street  Warrnambool  3280,5562 2258
-35.6303692535268,144.126927712909,Barham,25 Noorong Street,03 5453 2642
-26.858055,152.955254,Beerwah Library,25 Peachester Road ,07 5475 8989
-38.04768,144.17164,Bannockburn,25-27 High Street,4201 0661
-37.81694088,144.9658414,Melbourne (City Library),253 Flinders Lane  Melbourne  City Library  3000,9658 9500
-37.76522858,145.0455321,Ivanhoe,255 Upper Heidelberg Road  Ivanhoe  3079,9497 5780
-33.811937227895,151.216566372554,Northbridge Library,258 Sailors Bay Road,02 9967 5386
-36.75910695,144.2818943,Bendigo,259 Hargreaves Street  Bendigo  3550,5449 2700
-33.9820360676652,151.081967285789,Oatley Library,26 Letitia Street,02 9579 6553
-27.642929,153.111659,Logan Central Library,26 Wilbur Street ,07 3412 4106
-33.7774934222281,151.169093888065,Lindfield Library,265 Pacific Highway,02 9424 0428
-37.74017311,145.005606,Preston,266 Gower Street  Preston  3070,1300 655 355
-36.80950763,144.2409357,Kangaroo Flat,267 High Street  Kangaroo Flat  3550,5447 8344
-33.33682,116.74094,Darkan Public Library,27 Burrowes Street,9736 2000
-32.0072108227092,151.958697127117,Gloucester Library,27 Denison Street,02 6538 5258
-24.113775,148.088736,Springsure Library,27 Eclipse Street ,07 4984 1265
-43.161804,147.076571,Cygnet,"27 Mary Street, Cygnet",(03) 6121 7017
-31.68937,115.71749,Clarkson Public Library,27 Ocean Keys Boulevard,9407 1600
-28.8247702584485,153.326348949948,Goonellabah Library,27 Oliver Avenue,02 6625 1235
-31.98431,115.90002,Victoria Park Public Library,27 Sussex Street,9373 5500
-37.798667,144.965268,Carlton (Kathleen Syme),271 Faraday Street,9658 7300
-31.08893,116.44817,Calingiri Public Library,28 Cavell Street,9628 7004
-36.71289025,142.2009944,Horsham,28 McLachlan St  Horsham  3400,03 5382 5707
-33.7030258863644,151.09955016805,Hornsby Library,28-44 George Street,02 9847 6813
-36.077463,143.225886,Wycheproof,280 Broadway,
-27.4979248,153.0436626,Stones Corner Library,280 Logan Road ,07 3403 2170
-32.11274,116.01471,Kelmscott Public Library,2800 Albany Highway,9399 0810
-27.374268,153.0759544,Banyo Library,284 St Vincents Road ,07 3403 2200
-25.901047,139.351934,Birdsville Library,29 Burt Street ,07 4564 2000
-29.8670543730355,150.570839293785,Bingara Library,29 Maitland Street,02 6724 2064
-33.5977199021727,150.749267060194,Richmond Library,29 West Market Street,02 4560 4270
-30.9791785486898,150.255852564596,Gunnedah Shire Library,291 Conadilly Street,02 6740 2190
-34.4511102663518,147.535212529847,Temora Library,294 Hoskins Street,02 6977 1781
-33.0698839121602,151.588102054269,Wangi Wangi Library,295 Watkins Road,02 4921 0643
-37.67289571,145.0177646,Lalor,2A May Road  Lalor  3075,9465 2353
-37.05349,146.091374,Mansfield,2B Collopy Street,5775 2176
-37.249318,144.452304,Kyneton,3 Baynton St,5422 1365
-33.8638113305708,151.043298003623,Lidcombe Library,3 Bridge Street,02 8757 9064
-33.4672931446739,151.38413283434,Kincumber Library,3 Bungoona Road,02 4304 7641
-33.39958,115.75616,Dardanup Public Library,3 Little Street,9728 1422
-31.75065,115.80533,Wanneroo Public Library,3 Rocca Way,9405 5940
-31.98533,116.00934,Forrestfield Public Library,3 Salix Way,9257 9975
-36.4283974058212,150.07669566801,BERMAGUI BRANCH LIBRARY,3-5 Bunga Street,02 6493 2411
-41.050675,145.903823,Burnie,"30 Alexander Street, Burnie",(03) 6477 7400
-32.9021271095235,151.665907570071,Wallsend Library,30 Bunn Street,02 4985 6680
-42.562231,147.872328,Orford,"30 Charles Street, Orford",(03) 6123 4039
-25.59153,151.299731,Mundubbera Library,30 Lyons Street ,1300 696 272
-36.71904734,141.4709697,Goroke,30 Main Street  Goroke  3412,03 5585 1302
-26.699095,153.132613,Kawana Library,30 Nanyima Street ,07 5475 8989
-33.7139919172251,150.310249230057,Katoomba Library,30 Parke Street,02 4780 5750
-34.0309540830654,151.061936394665,Sutherland Library,30-36 Belmont Street,02 9710 0351
-37.78331285,144.8321406,Sunshine,301 Hampshire Road  Sunshine  3020,9249 4040
-33.84429,117.6388,Broomehill Public Library,30360 Great Southern Highway,9825 3555
-33.8621530664952,151.210889609253,Customs House Library,"31 Alfred Street, Circular Quay",02 9242 8555
-26.086272,152.239995,Kilkivan Library,31 Bligh Street ,07 5484 1209
-32.2302725662456,148.240215628054,Narromine Library,31 Dandaloo Street,02 6889 1088
-27.276845,150.459073,Tara Library,31 Day Street ,07 4678 7881
-42.1219,148.0729,Swansea,"31 Franklin Street, Swansea",(03) 6257 8607
-17.352768,145.59435,Malanda Library & Customer Service Centre,31 James Street ,07 4089 2329
-41.579084,148.186817,St Marys,"31 Main Street, St Marys",(03) 6387 5602
-37.68479291,144.5823561,Melton,31 McKenzie Street  Melton  3337,9743 1168
-23.645124,150.386567,Mount Morgan Library,31 Morgan Street ,07 4938 1169
-32.32936,117.87374,Corrigin Public Library,"31 Walton Street, Corrigin Post Office",9063 2100
-34.0350430386762,151.097966689732,Miranda Library,31 Wandella Road,02 9524 8217
-36.123478,144.74881,Echuca,310 Hare Street,5481 2400
-37.94907561,145.0433521,Highett,310 Highett Road  Highett  3190,1300 135 668
-33.90893005295,151.154227791498,Marrickville Library and Pavilion,313 Marrickville Road,02 9335 2173
-37.78846916,144.930478,Flemington,313 Racecourse Road  Flemington  3031,8325 1975
-37.84137,144.95656,Albert Park,"319 Montague Streeet, Albert Park",9209 6622
-37.9819023,145.1344779,Dingley,31C Marcus Road  Dingley  3172,1300 135 668
-30.4968065641261,153.021124496819,Urunga Library,32 Bonville Street,02 6655 6444
-31.4335529403754,152.915291242318,Port Macquarie Library,32 Grant Street (Corner Grant & Gordon Streets),02 6581 8755
-37.82044843,144.8736464,Yarraville,32 Wembley Avenue  Yarraville  3013,9688 0294
-37.7697223,145.0008307,Northcote,32-38 Separation Street  Northcote  3070,1300 655 355
-31.98333,115.77995,Claremont Public Library,327 Stirling Highway,9285 4353
-28.50131,114.78955,Nabawa Public Library,3270 Chapman Valley Road,9920 5011
-37.34107171,144.1416433,Daylesford,33 Albert Street  Daylesford  3460,5348 2800
-15.471042,145.249262,Cooktown Library,33 Helen Street ,07 4069 5009
-36.58801264,145.0153664,Rushworth,33 High Street  Rushworth  3612,5851 8704
-33.746182626527,150.611744936342,BLAXLAND LIBRARY,33 Hope Street,02 4739 4284
-41.526748,146.833069,Westbury,"33 William Street, Westbury",(03) 6701 2189
-32.5382,115.74062,Mandurah Public Library,331 Pinjarra Road,9550 3650
-33.56311,117.4363,Woodanilling Public Library,3316 Robinson Road,9823 1506
-31.87487,115.93994,Altone Park Public Library,332 Benara Road,9377 7760
-37.83573218,144.944679,Port Melbourne,333 Bay Street  Port Melbourne  3207,9209 6644
-37.81352265,145.085528,Balwyn,336 Whitehorse Road  Balwyn  3103,9278 4644
-26.16352,151.601307,Proston Library,34 Blake Street ,4168 9103
-17.935228,145.92346,"Dorothy Jones Library, Tully",34 Bryant Street ,1300 366 616
-25.180224,151.645446,Perry Library,34 Heussman Street ,1300 696 272
-36.313253,146.837148,Yackandandah,34 High Street,
-32.8025554816889,151.65628716674,BERESFIELD LIBRARY,34 Lawson Avenue,02 4978 4070
-30.64155,116.00761,Moora Public Library,34 Padbury Street,9651 0000
-38.19344745,146.5354293,Traralgon,34-38 Kay Street  Traralgon  3844,03 5176 3630
-32.1395105497248,150.355377095485,Merriwa Library,34-40 Vennacher Street,02 6521 7007
-37.834236,145.058964,Camberwell,340 Camberwell Road,9278 4655
-37.83883483,144.9904237,South Yarra (Toorak),340 Toorak Road  Toorak/South Yarra  3141,8290 8000
-30.30708,115.03782,Dandaragan Public Library,3468 Dandaragan Road,9651 4056
-33.8105491283835,151.005173149029,Local Studies / Family History Library,346A Church Street,02 8839 3322
-27.678721,153.117539,Marsden Library,35 Chambers Flat Road ,07 3412 4838
-37.941944,145.135752,Westall,"35 Fairbank Rd, Clayton South",
-26.1816034,152.0651894,Goomeri Library,35 Moore Street ,07 4168 4340
-34.3168503848584,150.918474360423,Thirroul District Library,352-358 Lawrence Hargrave Drive,02 4227 8191
-33.9044281179339,151.209594018527,Green Square Library,355 Botany Road,02 9288 5010
-33.6530695729032,151.044300006051,Galston Library,357 Galston Road,02 9847 6160
-33.2982508170158,146.373265873622,Lake Cargelligo Library,35A Forster Stret,02 6898 1722
-29.4625337289136,149.841808525483,Moree Library,36 Balo Street,02 6757 4733
-37.29333,143.78688,Clunes,36 Fraser Street  Clunes  3370,5345 3359
-37.9267,145.162325,Mulgrave,36 Mackie Rd,9546 1253
-25.370251,151.121959,Eidsvold Library,36 Moreton Street ,1300 696 272
-33.9035615701517,151.143719864344,Dulwich Hill Library,362-372 New Canterbury Road,02 9335 2182
-32.05573,115.87904,Willetton Public Library,37 Burrendah Boulevarde,9229 9540
-20.552978,147.845408,Collinsville Library,37 Conway Street ,4785 5100
-28.34184,116.6823,Yalgoo Public Library,37 Gibbons Street,9962 8042
-27.417154,152.978381,Mitchelton Library,37 Heliopolis Parade ,07 3403 7410
-28.77213,114.61189,Geraldton Regional Library,37 Marine Terrace,9956 6659
-38.12283,144.328182,Western Heights College Library,37 Vines Rd,
-33.8563717831799,151.176814689642,Balmain Library,370 Darling Street,02 9392 5938
-34.0449859834563,151.123492868299,Caringbah Library,376-378 Port Hacking Road,02 9524 3803
-37.81771962,145.1814488,Nunawading,379 Whitehorse Road  Nunawading  3131,9873 5638
-29.5406535668922,150.574134918814,Warialda Library,38 Hope Street,02 6729 1105
-21.88979,120.1061,Nullagine Public Library,39 Gallop Road,9176 2063
-23.842973,151.255427,Gladstone City Library,39 Goondoon Street ,07 4976 6400
-20.843157,144.200747,Flinders Shire Public Library,39 Gray Street ,07 4741 2976
-31.4976676796662,145.83768702148,Cobar Library,39 Marshall Street,02 6836 2744
-33.1073674392805,151.487368264345,Morisset Library,39 Yambo Street,02 4921 0753
-34.7436699601497,146.55395985054,Narrandera Library,39-51 East Street,02 6959 5585
-37.65983185,145.0745429,Mill Park,394 Plenty Road  Mill Park  3082,9437 8189
-32.2011477801162,152.521442341397,Forster Library,4 - 12 Breese Parade,02 6591 7256
-18.267564,146.028734,Cardwell Library,4 Balliol Street ,1300 366 616
-31.20904,121.62172,Kambalda Public Library,4 Barnes Drive,9080 2119
-24.989775,151.953425,Gin Gin Library,4 Dear Street ,07 4130 4620
-35.9141537676707,145.688047184096,BAROOGA LIBRARY,4 Golf Course Road ,03 5873 4701
-19.295081,146.771859,CityLibraries Aitkenvale,4 Petunia Street ,07 4727 8310
-31.9032,116.04843,Greenmount Public Library,4 Scott Street,9290 6755
-37.88414449,145.0044487,Elsternwick,4 Staniland Grove  Elsternwick  3185,9532 9321
-42.834443,147.275185,Glenorchy,"4 Terry Street, Glenorchy",(03) 6165 5493
-33.8681653057586,151.128829958828,Five Dock Library,4-12 Garfield Street,02 9911 6310
-37.71041544,145.0831915,Watsonia,4-6 Ibbottson Street  Watsonia  3087,9435 2397
-35.6676323025988,147.036443238824,Culcairn Library,40 Balfour Street,02 6036 0100
-34.053733098003,150.695509212782,Camden Library,40 John Street,02 4654 7951
-33.4090309331863,150.066104895527,Wallerawang Library,40 Main Street,02 6352 9122
-31.8356,115.76523,Duncraig Public Library,40 Warwick Road,9447 9533
-33.8779274565803,151.198033415879,Ultimo Library,40 William Henry Street,02 9298 3110
-37.92952552,145.4450282,Emerald,400B Belgrave-Gembrook Road  Emerald  3782,5968 3925
-33.8859983637036,151.213734032972,Surry Hills Library,405 Crown Street,02 8374 6230
-33.7958075409205,151.183541331981,Chatswood Library,409 Victoria Avenue,02 9777 7900
-24.32801,151.559991,Miriam Vale Library,41 Blomfield Street ,07 4974 6241
-34.4271343628573,150.898710918421,Wollongong Central Library,41 Burrelli Street,02 4227 7414
-37.87511471,145.1245893,Mount Waverley,41 Miller Crescent  Mount Waverley  3149,9807 1022
-31.30227,118.69674,Westonia Public Library,41 Wolfram Street,9046 7077
-35.3554504741202,145.725958597182,Jerilderie Library,41-43 Jerilderie Street,03 58861868
-36.37701364,145.3974528,Shepparton,41-43 Marungi Street  Shepparton  3632,5832 1600
-37.9473157,145.1531078,Springvale,411 Springvale Road  Springvale  3171,9239 5398
-37.82519539,144.9982977,Richmond,415 Church Street  Richmond  3121,1300 695 427
-32.0164418750583,149.397019415803,Dunedoo Library,42 Bolaro Street,02 6375 1468
-37.984862,146.784531,Heyfield,42 MacFarlane Street  Heyfield  3858,03 5148 2644
-34.1697967269586,150.612285329579,Picton Library,42 Menangle Street,02 4677 8300
-26.24067,151.94216,Murgon Library,42 Stephens Street ,4189 9503
-37.86965555,145.2383111,Knox,425 Burwood Hwy  Knox  3152,9801 1422
-30.9836729444338,151.593908193835,Walcha Library,42N Derby Street,02 6774 2550
-36.36203506,144.7014071,Rochester,43-45 Mackay Street  Rochester  3561,5484 4532
-23.525333,148.162377,Emerald Library,44 Borilla Street ,07 4986 8444
-29.44039,116.2857,Perenjori Public Library,44 Fowler Street,9973 0100
-37.947901,143.2221,Derrinallum,44 Main Street  Derrinallum  3325,5597 6658
-26.656002,153.101515,Maroochydore Library,44 Sixth Avenue ,07 5475 8989
-33.9505759592558,151.139070642575,Rockdale Library,444-446 Princes Highway ,02 9562 1821
-35.9933638,142.9255684,Birchip,45 Campbell St,03 5492 2230
-31.88937,116.00272,Midland Public Library,45 Helena Street,9267 9020
-32.9233573363778,151.747905673323,Hamilton Library,45 James Street,02 4974 1340
-27.509441,153.033381,Annerley Library,450 Ipswich Road ,07 3403 1735
-28.8382966176022,153.44105387277,Alstonville Library,46 Commercial Road,02 6628 5527
-30.0893992762933,145.940438899148,Bourke Library,46 Mitchell Street,02 6872 2751
-31.90403,115.94928,Bassendean Public Library,46 Old Perth Road,9279 2966
-31.0938675786323,150.933429649817,Tamworth Library,466 Peel Street,02 6755 5457
-25.510587,152.04396,Biggenden Library,47 Edward Street ,1300 696 272
-31.765184040806,150.839343421742,Murrurundi Library,47 Mayne Street,02 6540 1363
-25.917183,153.003261,Tin Can Bay Library,47 Tin Can Bay Road ,07 5486 4355
-27.225116,153.110994,Redcliffe Library,476 Oxley Avenue ,07 3283 0311
-42.864067,147.370525,Rosny,"48 Bligh Street, Rosny",(03) 6165 6448
-26.670682,152.002265,Nanango Library,48 Drayton Street ,4189 9438
-33.8292181762529,151.188402623532,Greenwich Library,48 Greenwich Road,02 9436 2776
-32.7300521598795,151.553001672726,Maitland Library,480 High Street,02 4933 6952
-37.73615698,144.8889294,Niddrie,483 Keilor Road  Niddrie  3042,8325 1925
-34.0865673310874,151.152375985506,Bundeena Library,48R Scarborough Street,02 9523 0932
-28.215215,152.03468,Warwick Library,49 Albion Street ,07 4661 0342
-25.235768,152.27978,Childers Library,49 Churchill Street ,07 4130 4650
-37.036075,141.297396,Edenhope,49 Elizabeth Street  Edenhope  3318,03 5585 1302
-37.18961447,145.7081915,Alexandra,49 Grant Street  Alexandra  3714,5772 0349
-17.522594,146.030731,Innisfail Library,49 Rankin Street ,1300 366 616
-34.49393,118.60433,Wellstead Public Library,49 Windsor Road,98472078
-24.868659,152.348329,Bundaberg Library,49 Woondooma Street ,07 4130 4140
-26.593775,152.727669,Kenilworth Library,4A Elizabeth Street ,07 5475 8989
-26.759195,152.85318,Maleny Library,5 Coral Street ,07 5475 8989
-32.9232364305573,151.621853822025,Edgeworth Library,5 Minmi Road,02 4921 0785
-33.7320921913419,151.127363586688,Turramurra Library,5 Ray Street,02 9424 0480
-25.05433,115.20887,Gascoyne Junction,5 Scott Street,9943 0988
-31.79798,115.79532,Woodvale Public Library,5 Trappers Drive,9400 4180
-38.022154,144.411026,Lara,5 Walkers Rd,4201 0668
-24.864229,151.122568,Monto Library,50 Newton Street ,1300 696 272
-33.3077091787485,151.414755357635,Tuggerah Library and Council Services,50 Wyong Road,02 4350 1560
-31.29898,116.82645,Goomalling Public Library,51 - 53 Railway Terrace,9629 1570
-31.4570924588818,152.731110160875,Wauchope Library,51 High Street,02 6581 8162
-41.162008,147.51531,Scottsdale,"51 King Street, Scottsdale",(03) 6778 8586
-38.147091,144.35658,Geelong,51 Little Malop Street  Geelong  3220,5222 1212
-33.8564643095139,150.939294405354,Smithfield Community Library,51-57 Oxford Street,02 9725 0333
-26.613829,144.266255,Quilpie Shire Library,52 Brolga Street ,4656 0550
-37.67621958,145.005103,Thomastown,52 Main Street  Thomastown  3074,9464 1864
-35.6574818052549,145.809457970327,BERRIGAN LIBRARY,52-54 Chanter Street,03 5888 5180
-29.4291302737378,147.984284771768,Lightning Ridge Library,53 Pandora Street,02 6829 0005
-35.33561807,143.5588428,Swan Hill,53-56 Campbell Street  Swan Hill  3585,5032 2404
-37.797672,144.87813,West Footscray,539 Barkly Street,
-31.87902,118.1484,Bruce Rock Public Library,54 Johnson Street,9061 1377
-21.117168,149.160209,Gordon White Library,54 Phillip Street ,07 4961 9300
-38.068827,145.143461,Patterson Lakes,54 Thompsons Rd,
-35.5293032318528,144.961332384886,Deniliquin Library,55 Napier Street,03 5898 3100
-37.91968925,147.723227,Paynesville,55 The Esplanade  Paynesville  3880,5153 9500
-38.32700989,143.0772248,Cobden,55 Victoria Street  Cobden  3266,5595 1228
-41.593685,147.122232,Longford,"55 Wellington Street, Longford",(03) 6777 2408
-34.36246,117.08175,Frankland Public Library,55 Wingebellup Road,9855 2209
-29.7765338285819,151.111598625965,Inverell Shire Public Library,55-59 Campbell Street,02 6728 8130
-20.657447,141.743988,Julia Creek library,56 Burke Street ,07 4746 7930
-28.654121,151.932488,Stanthorpe Library,56 Lock Street ,07 4681 2141
-37.80026175,144.8956908,Footscray,56 Paisley Street  Footscray  3011,9688 0290
-27.405307,152.990503,Everton Park Library,561 South Pine Road ,07 3403 7400
-33.857611851224,150.900274559242,Wetherill Park Library,561-583 Polding Street,02 9725 0333
-33.8055230970139,151.163509114046,West Chatswood Library,565 Mowbray Road,02 9427 4648
-29.961146499431,146.857415863133,BREWARRINA LIBRARY,57 Bathurst Street,02 6830 5107
-35.8123711111796,145.566884215205,Tocumwal Library,57 Deniliquin Street,03 5874 2633
-37.515268,145.122691,Whittlesea,57 Laurel Street,
-41.300539,146.953318,Exeter,"57 Main Road, Exeter",(03) 6702 6110
-31.65077,117.23971,Cunderdin Public Library,57 Main Street,9635 1784
-38.157077,144.346837,Chilwell (Newtown),57 Russell Street  Chilwell  3220,5221 5129
