long_name,short_name,state,fines,standard_loan_weeks,ILS,
Kalgoorlie-Boulder City Council,KALGOORLIE-BOULDER,wa,,3,,
Karratha City Council,KARRATHA,wa,,3,,
Kellerberrin Shire Council,KELLERBERRIN,wa,,3,,
Kent Shire Council,KENT,wa,,2,,
Kondinin Shire Council,KONDININ,wa,,2,,
Koorda Shire Council,KOORDA,wa,,2,,
Kulin Shire Council,KULIN,wa,,2,,
City of Kwinana,KWINANA,wa,,3,,
Lake Grace Shire Council,LAKE GRACE,wa,,2,,
Laverton Shire Council,LAVERTON,wa,,4,,
Leonora Shire Council,LEONORA,wa,,2,,
Mandurah City Council,MANDURAH,wa,,4,,
Meekatharra Shire Council,MEEKATHARRA,wa,,6,,
Melville City Council,MELVILLE,wa,,3,,
Menzies Shire Council,MENZIES,wa,,2,,
Merredin Shire Council,MERREDIN,wa,,2,,
Mingenew Shire Council,MINGENEW,wa,,2,,
Moora Shire Council,MOORA,wa,,2,,
Morawa Shire Council,MORAWA,wa,,2,,
Mount Magnet Shire Council,MOUNT MAGNET,wa,,2,,
Mount Marshall Shire Council,MOUNT MARSHALL,wa,,3,,
Mukinbudin Shire Council,MUKINBUDIN,wa,,2,,
Mundaring Shire Council,MUNDARING,wa,,3,,
Murchison Shire Council,MURCHISON,wa,,6,,
Narembeen Shire Council,NAREMBEEN,wa,,?,,
Narrogin Shire Council,NARROGIN,wa,,3,,
Northam Shire Council,NORTHAM,wa,,3,,
Northampton Shire Council,NORTHAMPTON,wa,,3,,
Nungarin Shire Council,NUNGARIN,wa,,2,,
Perenjori Shire Council,PERENJORI,wa,,4,,
Perth City Council,PERTH,wa,,3,,
Pingelly Shire Council,PINGELLY,wa,,2,,
Port Hedland Town Council,PORT HEDLAND,wa,,3,,
Quairading Shire Council,QUAIRADING,wa,,3,,
Ravensthorpe Shire Council,RAVENSTHORPE,wa,,2,,
Rockingham City Council,ROCKINGHAM,wa,,4,,
Sandstone Shire Council,SANDSTONE,wa,,2,,
Serpentine-Jarrahdale Shire Council,SERPENTINE-JARRAHDALE,wa,,3,,
Shark Bay Shire Council,SHARK BAY,wa,,3,,
South Perth City Council,SOUTH PERTH,wa,,3,,
Stirling City Council,STIRLING,wa,,3,,
Swan City Council,SWAN,wa,,4,,
Tammin Shire Council,TAMMIN,wa,,3,,
Three Springs Shire Council,THREE SPRINGS,wa,,2,,
Toodyay Shire Council,TOODYAY,wa,,3,,
Trayning Shire Council,TRAYNING,wa,,2,,
Upper Gascoyne,UPPER GASCOYNE,wa,,2,,
Victoria Park Town Council,VICTORIA PARK,wa,,3,,
Victoria Plains Shire Council,VICTORIA PLAINS,wa,,4,,
Vincent City Council,VINCENT,wa,,3,,
Wagin Shire Council,WAGIN,wa,,2,,
Wandering Shire Council,WANDERING,wa,,2,,
Wanneroo City Council,WANNEROO,wa,,3,,
West Arthur Shire Council,WEST ARTHUR,wa,,3,,
Westonia Shire Council,WESTONIA,wa,,2,,
Wickepin Shire Council,WICKEPIN,wa,,2,,
Williams Shire Council,WILLIAMS,wa,,3,,
Wiluna Shire Council,WILUNA,wa,,2,,
Wongan-Ballidu Shire Council,WONGAN-BALLIDU,wa,,2,,
Woodanilling Shire Council,WOODANILLING,wa,,4,,
Wyalkatchem Shire Council,WYALKATCHEM,wa,,2,,
Wyndham-East Kimberley Shire Council,WYNDHAM-EAST KIMBERLEY,wa,,2,,
Yalgoo Shire Council,YALGOO,wa,,?,,
Yilgarn Shire Council,YILGARN,wa,,2,,
York Shire Council,YORK,wa,,3,,
